datem,mkt_rf,SMB,HML,RF
1926-07-01,2.65,-2.39,-2.57,0.22
1926-08-01,2.59,-1.27,4.58,0.25
1926-09-01,0.37,-1.25,-0.09,0.23
1926-10-01,-3.45,-0.02,1.02,0.32
1926-11-01,2.43,-0.24,-0.63,0.31
1926-12-01,2.74,-0.12,0.16,0.28
1927-01-01,-0.19,-0.2,4.62,0.25
1927-02-01,4.17,0.04,3.04,0.26
1927-03-01,0.06,-1.7,-2.67,0.3
1927-04-01,0.44,0.32,0.75,0.25
1927-05-01,5.23,1.65,4.77,0.3
1927-06-01,-1.97,0.83,-2.5,0.26
1927-07-01,7.1,-3.14,-0.97,0.3
1927-08-01,2.43,-0.98,-4.07,0.28
1927-09-01,4.69,-3.5,-0.67,0.21
1927-10-01,-4.59,2.33,-3.92,0.25
1927-11-01,6.87,2.43,-0.94,0.21
1927-12-01,2.48,0.54,-1.43,0.22
1928-01-01,-0.78,4.36,-0.77,0.25
1928-02-01,-1.66,-2.14,-0.62,0.33
1928-03-01,8.76,-0.12,-1.02,0.29
1928-04-01,4.15,3.91,3.76,0.22
1928-05-01,1.71,2.69,-3.83,0.32
1928-06-01,-4.96,-3.45,-0.1,0.31
1928-07-01,0.61,-1.32,-0.07,0.32
1928-08-01,6.53,-1.32,-1.89,0.32
1928-09-01,2.84,1.49,1.4,0.27
1928-10-01,1.21,2.55,-2.99,0.41
1928-11-01,11.85,-2.45,3.17,0.38
1928-12-01,0.24,-1,-0.06,0.06
1929-01-01,4.41,-2.53,-1.87,0.34
1929-02-01,-0.43,0.76,1.33,0.36
1929-03-01,-0.97,-4.4,1.09,0.34
1929-04-01,1.28,-0.64,0.85,0.36
1929-05-01,-6.58,-6.52,1.33,0.44
1929-06-01,9.53,-1.51,-2.91,0.52
1929-07-01,4.43,-4.39,2,0.33
1929-08-01,8.07,-8.65,-0.39,0.4
1929-09-01,-5.46,1.43,-0.89,0.35
1929-10-01,-20.07,-3.36,7.92,0.46
1929-11-01,-12.67,-2.15,5.14,0.37
1929-12-01,1.48,-4.59,0.52,0.37
1930-01-01,5.47,4.36,-2.5,0.14
1930-02-01,2.45,0.45,-0.25,0.3
1930-03-01,7.25,3.52,-0.25,0.35
1930-04-01,-2.28,-0.57,-1.67,0.21
1930-05-01,-1.59,-1.96,-1.02,0.26
1930-06-01,-16.12,-3.2,2.13,0.27
1930-07-01,3.85,0.18,-2.07,0.2
1930-08-01,0.31,-2.16,-0.76,0.09
1930-09-01,-12.79,-2.06,-4.67,0.22
1930-10-01,-8.88,-0.37,-0.99,0.09
1930-11-01,-2.87,2.02,-3.35,0.13
1930-12-01,-7.9,-4.84,-5.61,0.14
1931-01-01,6.18,3.75,7.33,0.15
1931-02-01,10.87,2.71,1.43,0.04
1931-03-01,-6.56,3.39,-3.51,0.13
1931-04-01,-9.86,-4.37,-3.5,0.08
1931-05-01,-13.17,5.29,-6.57,0.09
1931-06-01,13.73,-5.35,10.58,0.08
1931-07-01,-6.55,1.64,-3.13,0.06
1931-08-01,0.37,-1.75,-1.2,0.03
1931-09-01,-29,-0.07,-6.9,0.03
1931-10-01,7.82,-1.54,1.29,0.1
1931-11-01,-9.1,5.11,-6.43,0.17
1931-12-01,-13.35,-1.57,-8.17,0.12
1932-01-01,-1.59,3.67,10.92,0.23
1932-02-01,5.31,-1.52,-3.66,0.23
1932-03-01,-11.01,1.34,-0.63,0.16
1932-04-01,-17.92,1.87,0.68,0.11
1932-05-01,-20.68,4.75,-3.42,0.06
1932-06-01,-0.78,-0.19,6.1,0.02
1932-07-01,33.47,-4.36,37.31,0.03
1932-08-01,36.58,16.06,27.9,0.03
1932-09-01,-3.16,-2.51,-6.52,0.03
1932-10-01,-13.02,-2.6,-10.22,0.02
1932-11-01,-5.6,1.36,-12.42,0.02
1932-12-01,4.46,-9.3,-6.98,0.01
1933-01-01,1.21,-0.62,8.42,0.01
1933-02-01,-14.98,-3.1,-2.65,-0.03
1933-03-01,3.33,4.3,6.66,0.04
1933-04-01,37.74,4.63,19.08,0.1
