date,small-low,small-2,small-high,big-low,big-2,big-high
1926-07-01,1.53,0.71,0.18,5.74,1.91,1.94
1926-08-01,-0.59,2.39,5.57,2.75,2.68,5.74
1926-09-01,-2.32,-0.04,-0.47,1.42,0.09,-0.6
1926-10-01,-3.83,-4.67,-1.47,-3.64,-2.33,-3.96
1926-11-01,2.92,3.81,1.8,3.26,2.85,3.13
1926-12-01,2.4,1.86,3.27,2.87,2.69,2.33
1927-01-01,-0.75,-0.15,4.18,-0.23,0.01,4.09
1927-02-01,3.19,6.97,6.49,5.12,3.51,7.91
1927-03-01,-1.76,-1.26,-2.92,1.68,-0.03,-2.5
1927-04-01,-1.16,0.3,3.85,3.14,-0.76,-0.36
1927-05-01,5.62,3.42,13.37,5.18,5.3,6.97
1927-06-01,-0.21,0.86,-3.99,-0.77,-3.08,-1.98
1927-07-01,4.3,5.14,3.93,8.82,6.71,7.27
1927-08-01,2.29,-2.05,0.96,4.84,1.25,-1.96
1927-09-01,2.39,2.44,0.2,5.12,4.43,5.96
1927-10-01,-0.28,-2.17,-5.72,-4.21,-4.34,-6.62
1927-11-01,10.7,7.72,9.89,7.7,6.7,6.63
1927-12-01,5.21,2.85,2.24,3.37,1.82,3.48
1928-01-01,3.29,3.01,3.43,-0.64,-0.4,-2.31
1928-02-01,-4.97,-1.89,-4.11,-0.63,-1.18,-2.73
1928-03-01,7.26,8.92,9.4,11.99,6.14,7.83
1928-04-01,4.21,10.71,10.08,2.86,5.92,4.5
1928-05-01,7.23,2.45,1.98,3.05,-0.1,0.64
1928-06-01,-8.35,-8.38,-7.03,-3.89,-4.12,-5.42
1928-07-01,-0.8,-0.87,-0.27,1.26,0.15,0.59
1928-08-01,4.86,6.89,3.75,8.33,5.47,5.66
1928-09-01,4.17,3.91,6.17,3.47,2.04,4.27
1928-10-01,6.62,2.99,1.29,1.14,1.61,0.5
1928-11-01,6.53,10.63,12.27,11.38,13.43,11.97
1928-12-01,0.02,-1.28,-0.24,0.66,0.06,0.8
1929-01-01,1.14,2.26,1.44,5.74,5.01,1.69
1929-02-01,0.04,1.34,1.48,-0.83,1.02,0.39
1929-03-01,-5.97,-3.24,-4.47,-1.74,2.31,-1.06
1929-04-01,-0.55,3.19,0.83,1.93,1.24,2.25
1929-05-01,-9.76,-9.14,-12.66,-6.41,-4.74,-0.86
1929-06-01,6.78,9.98,6.6,12.03,9.47,6.39
1929-07-01,0.25,-1.12,2.59,3.66,5.89,5.34
1929-08-01,-0.75,-0.39,0.16,7.05,12.53,5.37
1929-09-01,-3.59,-4.25,-3.67,-4.66,-4.76,-6.37
1929-10-01,-20.69,-18.75,-18.78,-24.18,-13.73,-10.24
1929-11-01,-15.7,-9.93,-12.62,-14.07,-10.86,-6.88
1929-12-01,-4.7,-2.47,-1.15,3.65,0.66,1.14
1930-01-01,8.84,8.71,8.14,6.89,3.14,2.59
1930-02-01,2.96,0.69,4.1,3.19,1.67,1.55
1930-03-01,9.45,11.44,10.42,6.96,8.3,5.48
1930-04-01,-6.11,-1.45,-5.32,-2.31,-2.42,-6.44
1930-05-01,-3.37,-2.51,-3.22,0.43,-1.88,-1.77
1930-06-01,-17.65,-16.2,-18.67,-17.62,-12.97,-12.34
1930-07-01,8.05,3.81,2.35,3.99,4.13,5.55
1930-08-01,-3.62,-2.02,-2.16,1.2,-0.74,-1.77
1930-09-01,-14.59,-14.51,-18.49,-12.15,-11.69,-17.59
1930-10-01,-10.63,-8.18,-10.72,-9.57,-7.38,-11.47
1930-11-01,-0.38,-2.15,-2.67,-1.96,-2.94,-6.37
1930-12-01,-10.71,-11.38,-17.66,-5.93,-9.1,-10.21
1931-01-01,10.33,11.18,15.71,4.84,7.01,14.13
1931-02-01,13.11,11.1,16.37,13.05,6.74,12.66
1931-03-01,-3.92,-2.85,-6.65,-4.43,-10.44,-8.72
1931-04-01,-13.21,-13.52,-17.87,-9.02,-11.1,-11.36
1931-05-01,-9.72,-8.28,-13.82,-11.31,-16.03,-20.35
1931-06-01,10.63,7.64,20,13.02,16.5,24.81
1931-07-01,-7.13,-9.68,-5.82,-4.95,-10.1,-12.52
1931-08-01,-1.77,-1.07,-3.26,0.87,-1.68,-0.05
1931-09-01,-27.12,-30.8,-33.63,-28.18,-27.69,-35.46
1931-10-01,4.58,9.27,5.3,9.23,3.44,11.1
1931-11-01,-5.73,-7.27,-9.5,-6.38,-15.98,-15.47
1931-12-01,-16.14,-16.63,-22.76,-11.33,-18.43,-21.06
1932-01-01,1.23,4.84,11.53,-3.55,2.16,7.98
1932-02-01,2.65,0.52,1.57,7.07,1.41,0.82
1932-03-01,-14.08,-9.5,-11.31,-9.89,-15.1,-13.91
1932-04-01,-19.5,-16.26,-16.09,-17.68,-20.06,-19.74
1932-05-01,-15.82,-24.05,-16.78,-19.62,-25.8,-25.49
1932-06-01,-0.94,5.5,1.08,-1.66,-0.64,8.52
1932-07-01,29.53,35.84,65.03,27.78,48.78,66.9
1932-08-01,57.92,52.45,82.01,30.81,50.85,62.53
1932-09-01,-2.83,-4.47,-12.73,-1.55,-6.28,-4.69
