datem,mkt_rf,SMB,HML,RF,small_low,small_2,small_high,big_low,big_2,big_high,lmkt,lsmb,lhml
1926-07-31,2.65,-2.39,-2.57,0.22,1.53,0.71,0.18,5.74,1.91,1.94,,,
1926-08-31,2.59,-1.27,4.58,0.25,-0.59,2.39,5.57,2.75,2.68,5.74,2.65,-2.39,-2.57
1926-09-30,0.37,-1.25,-0.09,0.23,-2.32,-0.04,-0.47,1.42,0.09,-0.6,2.59,-1.27,4.58
1926-10-31,-3.45,-0.02,1.02,0.32,-3.83,-4.67,-1.47,-3.64,-2.33,-3.96,0.37,-1.25,-0.09
1926-11-30,2.43,-0.24,-0.63,0.31,2.92,3.81,1.8,3.26,2.85,3.13,-3.45,-0.02,1.02
1926-12-31,2.74,-0.12,0.16,0.28,2.4,1.86,3.27,2.87,2.69,2.33,2.43,-0.24,-0.63
1927-01-31,-0.19,-0.2,4.62,0.25,-0.75,-0.15,4.18,-0.23,0.01,4.09,2.74,-0.12,0.16
1927-02-28,4.17,0.04,3.04,0.26,3.19,6.97,6.49,5.12,3.51,7.91,-0.19,-0.2,4.62
1927-03-31,0.06,-1.7,-2.67,0.3,-1.76,-1.26,-2.92,1.68,-0.03,-2.5,4.17,0.04,3.04
1927-04-30,0.44,0.32,0.75,0.25,-1.16,0.3,3.85,3.14,-0.76,-0.36,0.06,-1.7,-2.67
1927-05-31,5.23,1.65,4.77,0.3,5.62,3.42,13.37,5.18,5.3,6.97,0.44,0.32,0.75
1927-06-30,-1.97,0.83,-2.5,0.26,-0.21,0.86,-3.99,-0.77,-3.08,-1.98,5.23,1.65,4.77
1927-07-31,7.1,-3.14,-0.97,0.3,4.3,5.14,3.93,8.82,6.71,7.27,-1.97,0.83,-2.5
1927-08-31,2.43,-0.98,-4.07,0.28,2.29,-2.05,0.96,4.84,1.25,-1.96,7.1,-3.14,-0.97
1927-09-30,4.69,-3.5,-0.67,0.21,2.39,2.44,0.2,5.12,4.43,5.96,2.43,-0.98,-4.07
1927-10-31,-4.59,2.33,-3.92,0.25,-0.28,-2.17,-5.72,-4.21,-4.34,-6.62,4.69,-3.5,-0.67
